since,until,count
2013-10-14,2013-10-20,9300
2013-10-21,2013-10-27,8900
2013-10-28,2013-11-03,9000
2013-11-04,2013-11-10,9200
2013-11-11,2013-11-17,9400
2013-11-18,2013-11-24,9300
2013-11-25,2013-12-01,9000
2013-12-02,2013-12-08,8800
2013-12-09,2013-12-15,9400
2013-12-16,2013-12-22,10000
2013-12-23,2013-12-29,3700
2013-12-30,2014-01-05,4700
2014-01-06,2014-01-12,7600
2014-01-13,2014-01-19,8600
2014-01-20,2014-01-26,8100
2014-01-27,2014-02-02,8900
2014-02-03,2014-02-09,9000
2014-02-10,2014-02-16,8900
2014-02-17,2014-02-23,9100
2014-02-24,2014-03-02,9500
2014-03-03,2014-03-09,9200
2014-03-10,2014-03-16,10000
2014-03-10,2014-03-16,9100
2014-03-24,2014-03-30,9900
2014-03-31,2014-04-06,10100
2014-04-07,2014-04-13,10500
2014-04-14,2014-04-20,8850
2014-04-21,2014-04-27,9550
2014-04-28,2014-05-04,9700
2014-05-05,2014-05-11,9300
2014-05-12,2014-05-18,10300
2014-05-19,2014-05-25,10700
2014-05-26,2014-06-01,10600
2014-06-02,2014-06-08,10600
2014-06-09,2014-06-15,10700
2014-06-16,2014-06-22,11200
2014-06-23,2014-06-29,11900
2014-06-30,2014-07-06,12300
2014-07-07,2014-07-13,12500
2014-07-14,2014-07-20,13000
2014-07-21,2014-07-27,12800
2014-07-28,2014-08-03,13199
2014-08-04,2014-08-10,13200
2014-08-11,2014-08-17,13200
2014-08-18,2014-08-24,13500
2014-08-25,2014-08-31,14000
2014-09-01,2014-09-07,12200
2014-09-08,2014-09-14,13200
2014-09-15,2014-09-21,12800
2014-09-22,2014-09-28,13000
2014-09-29,2014-10-05,12300
2014-10-06,2014-10-12,12200
2014-10-13,2014-10-19,12800
2014-10-20,2014-10-26,11900
2014-10-27,2014-11-02,11700
2014-11-03,2014-11-09,12500
2014-11-10,2014-11-16,12300
2014-11-17,2014-11-23,12400
2014-11-24,2014-11-30,12300
2014-12-01,2014-12-07,12400
2014-12-08,2014-12-14,12500
2014-12-15,2014-12-21,13400
2014-12-22,2014-12-28,6200
2014-12-29,2015-01-04,5000
2015-01-05,2015-01-11,9200
2015-01-12,2015-01-18,11300
2015-01-19,2015-01-25,11800
2015-01-26,2015-02-01,11900
2015-02-02,2015-02-08,12000
2015-02-09,2015-02-15,11200
2015-02-16,2015-02-22,11700
2015-02-23,2015-03-01,12200
2015-03-02,2015-03-08,11400
2015-03-09,2015-03-15,12200
2015-03-16,2015-03-22,12500
2015-03-23,2015-03-29,12800
2015-03-30,2015-04-05,12100
2015-04-06,2015-04-12,11300
2015-04-13,2015-04-19,13400
2015-04-20,2015-04-26,13000
2015-04-27,2015-05-03,14100
2015-05-04,2015-05-10,12100
2015-05-11,2015-05-17,12900
2015-05-18,2015-05-24,12800
2015-05-25,2015-05-31,12800
2015-06-01,2015-06-07,12800
2015-06-08,2015-06-14,13600
2015-06-15,2015-06-21,14000
2015-06-22,2015-06-28,14900
2015-06-29,2015-07-05,14900
2015-07-06,2015-07-12,14500
2015-07-13,2015-07-19,14900
2015-07-20,2015-07-26,14700
2015-07-27,2015-08-02,15600
2015-08-03,2015-08-09,16200
2015-08-10,2015-08-16,15600
2015-08-17,2015-08-23,15900
2015-08-24,2015-08-30,18600
2015-08-31,2015-09-06,17400
2015-09-07,2015-09-13,16200
2015-09-14,2015-09-20,16700
2015-09-21,2015-09-27,16200
2015-09-28,2015-10-04,15200
2015-10-05,2015-10-11,15000
2015-10-12,2015-10-18,15300
2015-10-19,2015-10-25,14700
2015-10-26,2015-11-01,15000
2015-11-02,2015-11-08,12100
2015-11-09,2015-11-15,15200
2015-11-16,2015-11-22,14800
2015-11-23,2015-11-29,14500
2015-11-30,2015-12-06,15200
2015-12-07,2015-12-13,15200
2015-12-14,2015-12-20,16000
2015-12-21,2015-12-27,9200
2015-12-28,2016-01-03,6600
2016-01-04,2016-01-10,11000
2016-01-11,2016-01-17,12800
2016-01-18,2016-01-24,12500
2016-01-25,2016-01-31,13700
2016-02-01,2016-02-07,13700
2016-02-08,2016-02-14,13600
2016-02-15,2016-02-21,13600
2016-02-22,2016-02-28,14300
2016-02-29,2016-03-06,13800
2016-03-07,2016-03-13,14400
2016-03-14,2016-03-20,14600
2016-03-21,2016-03-27,13900
2016-03-28,2016-04-03,14300
2016-04-04,2016-04-10,15000
2016-04-11,2016-04-17,15100
2016-04-18,2016-04-24,15600
2016-04-25,2016-05-01,15500
2016-05-02,2016-05-08,13500
2016-05-09,2016-05-15,15800
2016-05-16,2016-05-22,16000
2016-05-23,2016-05-29,15400
2016-05-30,2016-06-05,15800
2016-06-06,2016-06-12,15900
2016-06-13,2016-06-19,16400
2016-06-20,2016-06-26,16900
2016-06-27,2016-07-03,17000
2016-07-04,2016-07-10,16000
2016-07-11,2016-07-17,17200
2016-07-18,2016-07-24,18100
2016-07-25,2016-07-31,19100
2016-08-01,2016-08-07,18600
2016-08-08,2016-08-14,18200
2016-08-15,2016-08-21,17600
2016-08-22,2016-08-28,18700
2016-08-29,2016-09-04,18300
2016-09-05,2016-09-11,16600
2016-09-12,2016-09-18,16500
2016-09-19,2016-09-25,16100
2016-09-26,2016-10-02,16500
2016-10-03,2016-10-09,16300
2016-10-10,2016-10-16,16200
2016-10-17,2016-10-23,16300
2016-10-24,2016-10-30,16200
2016-10-31,2016-11-06,16000
2016-11-07,2016-11-13,16000
2016-11-14,2016-11-20,16100
2016-11-21,2016-11-27,16500
2016-11-28,2016-12-04,16000
2016-12-05,2016-12-11,16600
2016-12-12,2016-12-18,17800
2016-12-19,2016-12-25,14700
2016-12-26,2017-01-01,9800
2017-01-02,2017-01-08,11700
2017-01-09,2017-01-15,13400
2017-01-16,2017-01-22,15000
2017-01-23,2017-01-29,16900
2017-01-30,2017-02-05,17000
2017-02-06,2017-02-12,16100
2017-02-13,2017-02-19,15800
2017-02-20,2017-02-26,16300
2017-02-27,2017-03-05,16000
2017-03-06,2017-03-12,16500
2017-03-13,2017-03-19,16700
2017-03-20,2017-03-26,15000
2017-03-27,2017-04-02,17900
2017-04-03,2017-04-09,16100
2017-04-10,2017-04-16,17000
2017-04-17,2017-04-23,16150
2017-04-24,2017-04-30,17510
2017-05-01,2017-05-07,17050
2017-05-08,2017-05-14,17600
2017-05-15,2017-05-21,18200
2017-05-22,2017-05-28,17300
2017-05-29,2017-06-04,18600
2017-06-05,2017-06-11,18700
2017-06-12,2017-06-18,19000
2017-06-19,2017-06-25,19200
2017-06-26,2017-07-02,20100
2017-07-03,2017-07-09,20300
2017-07-10,2017-07-16,21100
2017-07-17,2017-07-23,21900
2017-07-24,2017-07-30,23500
2017-07-31,2017-08-06,23500
2017-08-07,2017-08-13,22100
2017-08-14,2017-08-20,21000
2017-08-21,2017-08-27,22200
2017-08-28,2017-09-03,22300
2017-09-04,2017-09-10,20200
2017-09-11,2017-09-17,19700
2017-09-18,2017-09-24,19400
2017-09-25,2017-10-01,19900
2017-10-02,2017-10-08,19400
2017-10-09,2017-10-15,19600
2017-10-16,2017-10-22,19300
2017-10-23,2017-10-29,19200
2017-10-30,2017-11-05,19200
2017-11-06,2017-11-12,19300
2017-11-13,2017-11-19,19500
2017-11-20,2017-11-26,19200
2017-11-27,2017-12-03,18900
2017-12-04,2017-12-10,18900
2017-12-11,2017-12-17,20100
2017-12-18,2017-12-24,18100
2017-12-25,2017-12-31,7800
2018-01-01,2018-01-07,14800
2018-01-08,2018-01-14,17500
2018-01-15,2018-01-21,17100
2018-01-22,2018-01-28,17700
2018-01-29,2018-02-04,18100
2018-02-05,2018-02-11,18000
2018-02-12,2018-02-18,17800
2018-02-19,2018-02-25,17500
2018-02-26,2018-03-04,15600
2018-03-05,2018-03-11,17700
2018-03-12,2018-03-18,18100
2018-03-19,2018-03-25,18400
2018-03-26,2018-04-01,18600
2018-04-02,2018-04-08,16600
2018-04-09,2018-04-15,18900
2018-04-16,2018-04-22,19500
2018-04-23,2018-04-29,20000
2018-04-30,2018-05-06,18600
2018-05-07,2018-05-13,18900
2018-05-14,2018-05-20,20100
2018-05-21,2018-05-27,20000
2018-05-28,2018-06-03,21000
2018-06-04,2018-06-10,21000
2018-06-11,2018-06-17,21000
2018-06-18,2018-06-24,21600
2018-06-25,2018-07-01,23900
2018-07-02,2018-07-08,20300
2018-07-08,2018-07-14,23000
2018-07-15,2018-07-21,24500
2018-07-22,2018-07-28,24000
2018-07-29,2018-08-04,21000
2018-08-04,2018-08-10,27700
2018-08-11,2018-08-17,26400
2018-08-18,2018-08-24,22500
2018-08-25,2018-08-31,23200
2018-09-01,2018-09-07,23400
2018-09-08,2018-09-14,21000
2018-09-15,2018-09-21,20200
2018-09-22,2018-09-28,17500
2018-09-29,2018-10-05,17300
2018-10-06,2018-10-12,20000
2018-10-13,2018-10-19,20000
2018-10-20,2018-10-26,17900
2018-10-27,2018-11-02,19000
2018-11-03,2018-11-09,18900
2018-11-10,2018-11-16,22000
2018-11-18,2018-11-24,21400
2018-11-25,2018-12-01,18300
2018-12-02,2018-12-08,16400
2018-12-09,2018-12-15,19300
2018-12-16,2018-12-22,19000
2018-12-23,2018-12-29,7600
2018-12-30,2019-01-05,10400
2019-01-06,2019-01-12,16300
2019-01-13,2019-01-19,17900
2019-01-20,2019-01-26,17500
2019-01-27,2019-02-02,17900
2019-02-03,2019-02-09,17900
2019-02-10,2019-02-16,18700
2019-02-17,2019-02-23,18100
2019-02-24,2019-03-02,18600
2019-03-03,2019-03-09,18500
2019-03-10,2019-03-16,18200
2019-03-17,2019-03-23,19500
2019-03-24,2019-03-30,19400
2019-03-31,2019-04-06,19200
2019-04-07,2019-04-13,19800
2019-04-14,2019-04-20,19500
2019-04-21,2019-04-27,17800
2019-04-28,2019-05-04,17800
2019-05-05,2019-05-11,18400
2019-05-12,2019-05-18,19900
2019-05-19,2019-05-25,19700
2019-05-26,2019-06-01,19100
2019-06-02,2019-06-08,19200
2019-06-09,2019-06-15,19700
2019-06-16,2019-06-22,22300
2019-06-23,2019-06-29,22300
2019-06-30,2019-07-06,23400
2019-07-07,2019-07-13,23500
2019-07-14,2019-07-20,24400
2019-07-21,2019-07-27,24600
2019-07-28,2019-08-03,26900
2019-08-04,2019-08-10,25400
2019-08-11,2019-08-17,24500
2019-08-18,2019-08-24,23900
2019-08-25,2019-08-31,25800
2019-09-01,2019-09-07,24200
2019-09-08,2019-09-14,22900
2019-09-15,2019-09-21,22300
2019-09-22,2019-09-28,21500